#ts enqueued_b enqueued_t bwe cur level max_level player_status paused_time downloaded_bytes cpu mem rss vms ts_start_req ts_stop_req url_segment byterange fragment_duration q0 q1 q2 q3 q4 q5
1573909083.11 0 0.000 0.000 0.100 0 5 0 0.000 0 0.000 2.457 50966528.000 364171264.000 -1.000 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573909083.22 0 0.000 0.000 0.100 0 5 0 0.000 0 0.000 2.459 51564544.000 364314624.000 -1.000 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573909083.32 59746 4.938 4.998 0.100 0 5 0 0.000 62068 10.000 2.475 51736576.000 364453888.000 1573909083.216 1573909083.315 http://192.168.1.254/car-20120827-160.mp4 62068-123084 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573909083.42 119759 9.943 4.906 4.191 5 5 0 0.000 123085 10.000 2.478 51920896.000 364453888.000 1573909083.318 1573909083.418 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573909083.52 119759 9.943 4.906 4.191 5 5 0 0.000 123085 10.000 2.479 51982336.000 364593152.000 1573909083.421 1573909083.418 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573909083.62 119759 9.943 4.906 4.191 5 5 0 0.000 123085 9.091 2.491 52006912.000 364740608.000 1573909083.421 1573909083.418 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573909083.72 119759 9.943 4.906 4.191 5 5 0 0.000 123085 10.000 2.501 52264960.000 364908544.000 1573909083.421 1573909083.418 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573909083.83 119759 9.943 4.906 4.191 5 5 0 0.000 123085 10.000 2.509 52461568.000 365068288.000 1573909083.421 1573909083.418 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573909083.93 119759 9.943 4.906 4.191 5 5 0 0.000 123085 10.000 2.518 52629504.000 365355008.000 1573909083.421 1573909083.418 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573909084.03 119759 9.943 4.906 4.191 5 5 0 0.000 123085 10.000 2.526 52826112.000 365494272.000 1573909083.421 1573909083.418 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573909084.13 119759 9.943 4.906 4.191 5 5 0 0.000 123085 0.000 2.534 52994048.000 365654016.000 1573909083.421 1573909083.418 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573909084.23 119759 9.943 4.906 4.191 5 5 0 0.000 123085 10.000 2.543 53166080.000 365805568.000 1573909083.421 1573909083.418 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573909084.33 119759 9.943 4.906 4.191 5 5 0 0.000 123085 20.000 2.552 53350400.000 365957120.000 1573909083.421 1573909083.418 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573909084.43 119759 9.943 4.906 4.191 5 5 0 0.000 123085 10.000 2.561 53526528.000 366276608.000 1573909083.421 1573909083.418 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573909084.53 119759 9.943 4.906 4.191 5 5 0 0.000 123085 10.000 2.569 53723136.000 366436352.000 1573909083.421 1573909083.418 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573909084.64 119759 9.943 4.906 4.191 5 5 0 0.000 123085 9.091 2.578 53882880.000 366579712.000 1573909083.421 1573909083.418 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573909084.74 119759 9.943 4.906 4.191 5 5 0 0.000 123085 20.000 2.587 54177792.000 366825472.000 1573909083.421 1573909083.418 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573909084.84 119759 9.943 4.906 4.191 5 5 0 0.000 123085 10.000 2.559 53645312.000 366112768.000 1573909083.421 1573909083.418 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573909084.94 119759 9.943 4.906 4.191 5 5 0 0.000 123085 20.000 2.520 52875264.000 365395968.000 1573909083.421 1573909083.418 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573909085.04 119759 9.943 4.906 4.191 5 5 0 0.000 123085 20.000 2.523 52932608.000 365395968.000 1573909083.421 1573909083.418 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573909085.14 119759 9.943 4.906 4.191 5 5 0 0.000 123085 9.091 2.575 53796864.000 366563328.000 1573909083.421 1573909083.418 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573909085.25 119759 9.943 4.906 4.191 5 5 0 0.000 123085 10.000 2.581 54124544.000 366620672.000 1573909083.421 1573909083.418 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573909085.35 119759 9.943 4.906 4.191 5 5 0 0.000 123085 30.000 2.587 54190080.000 366821376.000 1573909083.421 1573909083.418 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573909085.45 119759 9.943 4.906 4.191 5 5 0 0.000 123085 20.000 2.593 54251520.000 366886912.000 1573909083.421 1573909083.418 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573909085.55 119759 9.943 4.906 4.191 5 5 0 0.000 123085 10.000 2.538 53235712.000 365805568.000 1573909083.421 1573909083.418 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573909085.65 119759 9.943 4.906 4.191 5 5 0 0.000 123085 20.000 2.604 54370304.000 367140864.000 1573909083.421 1573909083.418 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
