#ts enqueued_b enqueued_t bwe cur level max_level player_status paused_time downloaded_bytes cpu mem rss vms ts_start_req ts_stop_req url_segment byterange fragment_duration q0 q1 q2 q3 q4 q5
1538753860.17 0 0.000 0.000 0.100 0 5 0 0.000 0 0.000 2.212 45735936.000 363057152.000 -1.000 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538753860.28 0 0.000 0.000 0.100 0 5 0 0.000 0 0.000 2.214 46424064.000 363057152.000 -1.000 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538753860.38 0 0.000 0.000 0.100 0 5 0 0.000 0 0.000 2.217 46436352.000 363212800.000 1538753860.277 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538753860.48 0 0.000 0.000 0.100 0 5 0 0.000 0 9.091 2.219 46510080.000 363212800.000 1538753860.277 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538753860.58 59746 4.938 2.011 0.100 0 5 0 0.000 62068 10.000 2.230 46653440.000 363401216.000 1538753860.528 1538753860.524 http://192.168.1.254/car-20120827-160.mp4 62068-123084 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538753860.68 59746 4.938 2.011 0.100 0 5 0 0.000 62068 0.000 2.230 46780416.000 363401216.000 1538753860.528 1538753860.524 http://192.168.1.254/car-20120827-160.mp4 62068-123084 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538753860.79 119759 9.943 1.933 0.869 3 5 0 0.000 123085 10.000 2.233 46788608.000 363401216.000 1538753860.781 1538753860.780 http://192.168.1.254/car-20120827-87.mp4 1450907-2164184 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538753860.89 119759 9.943 1.933 0.869 3 5 0 0.000 123085 0.000 2.233 46845952.000 363401216.000 1538753860.781 1538753860.780 http://192.168.1.254/car-20120827-87.mp4 1450907-2164184 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538753860.99 119759 9.943 1.933 0.869 3 5 0 0.000 123085 20.000 2.234 46845952.000 363401216.000 1538753860.781 1538753860.780 http://192.168.1.254/car-20120827-87.mp4 1450907-2164184 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538753861.09 119759 9.943 1.933 0.869 3 5 0 0.000 123085 0.000 2.240 46862336.000 363540480.000 1538753860.781 1538753860.780 http://192.168.1.254/car-20120827-87.mp4 1450907-2164184 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538753861.19 119759 9.943 1.933 0.869 3 5 0 0.000 123085 9.091 2.243 46985216.000 363540480.000 1538753860.781 1538753860.780 http://192.168.1.254/car-20120827-87.mp4 1450907-2164184 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538753861.29 119759 9.943 1.933 0.869 3 5 0 0.000 123085 0.000 2.247 47063040.000 363696128.000 1538753860.781 1538753860.780 http://192.168.1.254/car-20120827-87.mp4 1450907-2164184 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538753861.39 119759 9.943 1.933 0.869 3 5 0 0.000 123085 10.000 2.250 47140864.000 363696128.000 1538753860.781 1538753860.780 http://192.168.1.254/car-20120827-87.mp4 1450907-2164184 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538753861.50 119759 9.943 1.933 0.869 3 5 0 0.000 123085 10.000 2.253 47194112.000 363696128.000 1538753860.781 1538753860.780 http://192.168.1.254/car-20120827-87.mp4 1450907-2164184 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538753861.60 119759 9.943 1.933 0.869 3 5 0 0.000 123085 9.091 2.257 47271936.000 363851776.000 1538753860.781 1538753860.780 http://192.168.1.254/car-20120827-87.mp4 1450907-2164184 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538753861.70 119759 9.943 1.933 0.869 3 5 0 0.000 123085 0.000 2.261 47349760.000 363851776.000 1538753860.781 1538753860.780 http://192.168.1.254/car-20120827-87.mp4 1450907-2164184 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538753861.80 119759 9.943 1.933 0.869 3 5 0 0.000 123085 0.000 2.265 47427584.000 364007424.000 1538753860.781 1538753860.780 http://192.168.1.254/car-20120827-87.mp4 1450907-2164184 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538753861.90 119759 9.943 1.933 0.869 3 5 0 0.000 123085 10.000 2.267 47505408.000 364007424.000 1538753860.781 1538753860.780 http://192.168.1.254/car-20120827-87.mp4 1450907-2164184 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538753862.00 119759 9.943 1.933 0.869 3 5 0 0.000 123085 10.000 2.271 47558656.000 364167168.000 1538753860.781 1538753860.780 http://192.168.1.254/car-20120827-87.mp4 1450907-2164184 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538753862.11 119759 9.943 1.933 0.869 3 5 0 0.000 123085 10.000 2.274 47636480.000 364167168.000 1538753860.781 1538753860.780 http://192.168.1.254/car-20120827-87.mp4 1450907-2164184 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538753862.21 119759 9.943 1.933 0.869 3 5 0 0.000 123085 10.000 2.278 47714304.000 364322816.000 1538753860.781 1538753860.780 http://192.168.1.254/car-20120827-87.mp4 1450907-2164184 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538753862.31 119759 9.943 1.933 0.869 3 5 0 0.000 123085 10.000 2.282 47792128.000 364322816.000 1538753860.781 1538753860.780 http://192.168.1.254/car-20120827-87.mp4 1450907-2164184 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538753862.41 119759 9.943 1.933 0.869 3 5 0 0.000 123085 0.000 2.284 47869952.000 364478464.000 1538753860.781 1538753860.780 http://192.168.1.254/car-20120827-87.mp4 1450907-2164184 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538753862.52 119759 9.943 1.933 0.869 3 5 0 0.000 123085 0.000 2.288 47923200.000 364478464.000 1538753860.781 1538753860.780 http://192.168.1.254/car-20120827-87.mp4 1450907-2164184 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538753862.62 119759 9.943 1.933 0.869 3 5 0 0.000 123085 10.000 2.292 48001024.000 364634112.000 1538753860.781 1538753860.780 http://192.168.1.254/car-20120827-87.mp4 1450907-2164184 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538753862.72 119759 9.943 1.933 0.869 3 5 0 0.000 123085 9.091 2.296 48078848.000 364634112.000 1538753860.781 1538753860.780 http://192.168.1.254/car-20120827-87.mp4 1450907-2164184 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538753862.82 119759 9.943 1.933 0.869 3 5 0 0.000 123085 0.000 2.299 48156672.000 364789760.000 1538753860.781 1538753860.780 http://192.168.1.254/car-20120827-87.mp4 1450907-2164184 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538753862.92 119759 9.943 1.933 0.869 3 5 0 0.000 123085 10.000 2.302 48234496.000 364789760.000 1538753860.781 1538753860.780 http://192.168.1.254/car-20120827-87.mp4 1450907-2164184 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538753863.02 119759 9.943 1.933 0.869 3 5 0 0.000 123085 10.000 2.306 48287744.000 364789760.000 1538753860.781 1538753860.780 http://192.168.1.254/car-20120827-87.mp4 1450907-2164184 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538753863.13 119759 9.943 1.933 0.869 3 5 0 0.000 123085 10.000 2.309 48365568.000 364949504.000 1538753860.781 1538753860.780 http://192.168.1.254/car-20120827-87.mp4 1450907-2164184 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538753863.23 119759 9.943 1.933 0.869 3 5 0 0.000 123085 10.000 2.313 48443392.000 364949504.000 1538753860.781 1538753860.780 http://192.168.1.254/car-20120827-87.mp4 1450907-2164184 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538753863.33 119759 9.943 1.933 0.869 3 5 0 0.000 123085 0.000 2.317 48521216.000 365105152.000 1538753860.781 1538753860.780 http://192.168.1.254/car-20120827-87.mp4 1450907-2164184 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1538753863.43 119759 9.943 1.933 0.869 3 5 0 0.000 123085 10.000 2.319 48599040.000 365105152.000 1538753860.781 1538753860.780 http://192.168.1.254/car-20120827-87.mp4 1450907-2164184 5.000 0.100 0.265 0.687 0.869 2.074 4.191
