#ts enqueued_b enqueued_t bwe cur level max_level player_status paused_time downloaded_bytes cpu mem rss vms ts_start_req ts_stop_req url_segment byterange fragment_duration q0 q1 q2 q3 q4 q5
1571825278.46 0 0.000 0.000 0.100 0 5 0 0.000 0 0.000 2.201 45674496.000 363057152.000 -1.000 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825278.57 0 0.000 0.000 0.100 0 5 0 0.000 0 10.000 2.202 46190592.000 363057152.000 -1.000 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825278.67 119759 9.943 193.552 4.191 5 5 0 0.000 123085 36.364 2.312 48500736.000 365158400.000 1571825278.598 1571825278.593 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825278.78 3660184 14.924 185.128 4.191 5 5 1 0.682 3665063 60.000 2.410 50298880.000 367349760.000 1571825278.757 1571825278.751 http://192.168.1.254/car-20120827-89.mp4 11242045-13591842 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825278.88 6008429 19.821 269.345 4.191 5 5 1 0.682 6014861 20.000 2.725 57044992.000 373948416.000 1571825278.757 1571825278.827 http://192.168.1.254/car-20120827-89.mp4 13591843-16143538 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825278.98 6008395 19.687 269.345 4.191 5 5 1 0.682 6014861 0.000 2.725 57159680.000 373948416.000 1571825278.757 1571825278.827 http://192.168.1.254/car-20120827-89.mp4 13591843-16143538 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825279.08 6008378 19.621 269.345 4.191 5 5 1 0.682 6014861 10.000 2.725 57163776.000 373948416.000 1571825278.757 1571825278.827 http://192.168.1.254/car-20120827-89.mp4 13591843-16143538 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825279.18 6008344 19.487 269.345 4.191 5 5 1 0.682 6014861 0.000 2.725 57163776.000 373948416.000 1571825278.757 1571825278.827 http://192.168.1.254/car-20120827-89.mp4 13591843-16143538 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825279.29 6008327 19.421 269.345 4.191 5 5 1 0.682 6014861 10.000 2.725 57163776.000 373948416.000 1571825278.757 1571825278.827 http://192.168.1.254/car-20120827-89.mp4 13591843-16143538 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825279.39 6007871 19.287 269.345 4.191 5 5 1 0.682 6014861 0.000 2.725 57163776.000 373948416.000 1571825278.757 1571825278.827 http://192.168.1.254/car-20120827-89.mp4 13591843-16143538 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825279.49 6007645 19.221 269.345 4.191 5 5 1 0.682 6014861 0.000 2.725 57163776.000 373948416.000 1571825278.757 1571825278.827 http://192.168.1.254/car-20120827-89.mp4 13591843-16143538 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571825279.59 6006630 19.087 269.345 4.191 5 5 1 0.682 6014861 0.000 2.725 57163776.000 373948416.000 1571825278.757 1571825278.827 http://192.168.1.254/car-20120827-89.mp4 13591843-16143538 5.000 0.100 0.265 0.687 0.869 2.074 4.191
