#ts enqueued_b enqueued_t bwe cur level max_level player_status paused_time downloaded_bytes cpu mem rss vms ts_start_req ts_stop_req url_segment byterange fragment_duration q0 q1 q2 q3 q4 q5
1573420317.37 0 0.000 0.000 0.100 0 5 0 0.000 0 0.000 2.361 48832512.000 364453888.000 -1.000 -1.000 http://192.168.1.94/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573420317.48 0 0.000 0.000 0.100 0 5 0 0.000 0 0.000 2.362 49545216.000 364453888.000 -1.000 -1.000 http://192.168.1.94/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573420317.58 119759 9.943 75.192 4.191 5 5 0 0.000 123085 60.000 2.528 53030912.000 367738880.000 1573420317.492 1573420317.487 http://192.168.1.94/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573420317.69 6008446 19.887 437.669 4.191 5 5 1 0.734 6014861 45.455 2.882 60379136.000 375287808.000 1573420317.606 1573420317.649 http://192.168.1.94/car-20120827-89.mp4 13591843-16143538 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573420317.79 6008429 19.821 437.669 4.191 5 5 1 0.734 6014861 0.000 2.882 60452864.000 375287808.000 1573420317.606 1573420317.649 http://192.168.1.94/car-20120827-89.mp4 13591843-16143538 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573420317.89 6008395 19.687 437.669 4.191 5 5 1 0.734 6014861 9.091 2.882 60452864.000 375287808.000 1573420317.606 1573420317.649 http://192.168.1.94/car-20120827-89.mp4 13591843-16143538 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573420318.00 6008378 19.621 437.669 4.191 5 5 1 0.734 6014861 0.000 2.882 60452864.000 375287808.000 1573420317.606 1573420317.649 http://192.168.1.94/car-20120827-89.mp4 13591843-16143538 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573420318.10 6008344 19.487 437.669 4.191 5 5 1 0.734 6014861 0.000 2.882 60452864.000 375287808.000 1573420317.606 1573420317.649 http://192.168.1.94/car-20120827-89.mp4 13591843-16143538 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573420318.21 6008327 19.421 437.669 4.191 5 5 1 0.734 6014861 10.000 2.882 60452864.000 375287808.000 1573420317.606 1573420317.649 http://192.168.1.94/car-20120827-89.mp4 13591843-16143538 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573420318.31 6007871 19.287 437.669 4.191 5 5 1 0.734 6014861 0.000 2.882 60452864.000 375287808.000 1573420317.606 1573420317.649 http://192.168.1.94/car-20120827-89.mp4 13591843-16143538 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573420318.42 6007173 19.154 437.669 4.191 5 5 1 0.734 6014861 0.000 2.882 60452864.000 375287808.000 1573420317.606 1573420317.649 http://192.168.1.94/car-20120827-89.mp4 13591843-16143538 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573420318.52 6006630 19.087 437.669 4.191 5 5 1 0.734 6014861 10.000 2.882 60452864.000 375287808.000 1573420317.606 1573420317.649 http://192.168.1.94/car-20120827-89.mp4 13591843-16143538 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573420318.62 6005210 18.954 437.669 4.191 5 5 1 0.734 6014861 0.000 2.882 60452864.000 375287808.000 1573420317.606 1573420317.649 http://192.168.1.94/car-20120827-89.mp4 13591843-16143538 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573420318.73 6004765 18.887 437.669 4.191 5 5 1 0.734 6014861 0.000 2.882 60452864.000 375287808.000 1573420317.606 1573420317.649 http://192.168.1.94/car-20120827-89.mp4 13591843-16143538 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573420318.83 6002422 18.754 437.669 4.191 5 5 1 0.734 6014861 9.091 2.882 60452864.000 375287808.000 1573420317.606 1573420317.649 http://192.168.1.94/car-20120827-89.mp4 13591843-16143538 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573420318.93 6001596 18.687 437.669 4.191 5 5 1 0.734 6014861 0.000 2.882 60452864.000 375287808.000 1573420317.606 1573420317.649 http://192.168.1.94/car-20120827-89.mp4 13591843-16143538 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573420319.04 5999137 18.554 437.669 4.191 5 5 1 0.734 6014861 0.000 2.882 60452864.000 375287808.000 1573420317.606 1573420317.649 http://192.168.1.94/car-20120827-89.mp4 13591843-16143538 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1573420319.15 5995871 18.421 437.669 4.191 5 5 1 0.734 6014861 0.000 2.882 60452864.000 375287808.000 1573420317.606 1573420317.649 http://192.168.1.94/car-20120827-89.mp4 13591843-16143538 5.000 0.100 0.265 0.687 0.869 2.074 4.191
