#ts enqueued_b enqueued_t bwe cur level max_level player_status paused_time downloaded_bytes cpu mem rss vms ts_start_req ts_stop_req url_segment byterange fragment_duration q0 q1 q2 q3 q4 q5
1571826303.38 0 0.000 0.000 0.100 0 5 0 0.000 0 0.000 2.201 45674496.000 363057152.000 -1.000 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571826303.49 0 0.000 0.000 0.100 0 5 0 0.000 0 10.000 2.203 46198784.000 363057152.000 -1.000 -1.000 http://192.168.1.254/car-20120827-160.mp4 0-62067 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571826303.59 59746 4.938 4.997 0.100 0 5 0 0.000 62068 10.000 2.219 46374912.000 363212800.000 1571826303.487 1571826303.586 http://192.168.1.254/car-20120827-160.mp4 62068-123084 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571826303.69 119759 9.943 4.931 4.191 5 5 0 0.000 123085 9.091 2.222 46546944.000 363401216.000 1571826303.590 1571826303.689 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571826303.79 119759 9.943 4.931 4.191 5 5 0 0.000 123085 10.000 2.225 46620672.000 363401216.000 1571826303.693 1571826303.689 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571826303.90 119759 9.943 4.931 4.191 5 5 0 0.000 123085 10.000 2.236 46682112.000 363683840.000 1571826303.693 1571826303.689 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571826304.00 119759 9.943 4.931 4.191 5 5 0 0.000 123085 10.000 2.245 46903296.000 363827200.000 1571826303.693 1571826303.689 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571826304.10 119759 9.943 4.931 4.191 5 5 0 0.000 123085 20.000 2.253 47099904.000 363970560.000 1571826303.693 1571826303.689 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571826304.20 119759 9.943 4.931 4.191 5 5 0 0.000 123085 0.000 2.263 47267840.000 364126208.000 1571826303.693 1571826303.689 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571826304.30 119759 9.943 4.931 4.191 5 5 0 0.000 123085 10.000 2.271 47464448.000 364412928.000 1571826303.693 1571826303.689 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571826304.40 119759 9.943 4.931 4.191 5 5 0 0.000 123085 18.182 2.280 47632384.000 364556288.000 1571826303.693 1571826303.689 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571826304.50 119759 9.943 4.931 4.191 5 5 0 0.000 123085 0.000 2.288 47828992.000 364711936.000 1571826303.693 1571826303.689 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
1571826304.61 119759 9.943 4.931 4.191 5 5 0 0.000 123085 10.000 2.297 47996928.000 364855296.000 1571826303.693 1571826303.689 http://192.168.1.254/car-20120827-89.mp4 7700067-11242044 5.000 0.100 0.265 0.687 0.869 2.074 4.191
